stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2303,聯電            ,1,24114,2025-10-31,3,20144,2025-10-30,44258,22129.0
3706,神達            ,9,6695,2025-10-31,8,13230,2025-10-30,19925,9962.5
2515,中工            ,7,7928,2025-10-31,10,10158,2025-10-30,18086,9043.0
