stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00981A,主動統一台股增長,1,119545,2026-08-03,1,374476,2026-07-31,494021,247010.5
00991A,主動復華未來50  ,4,83516,2026-08-03,2,340925,2026-07-31,424441,212220.5
00403A,主動統一升級50  ,3,88931,2026-08-03,3,169171,2026-07-31,258102,129051.0
009816,凱基台灣TOP50   ,5,80559,2026-08-03,5,98641,2026-07-31,179200,89600.0
0050,元大台灣50      ,6,55360,2026-08-03,7,84169,2026-07-31,139529,69764.5
00992A,主動群益科技創新,9,20776,2026-08-03,4,106772,2026-07-31,127548,63774.0
00405A,主動富邦台灣龍耀,7,39708,2026-08-03,6,84822,2026-07-31,124530,62265.0
00400A,主動國泰動能高息,10,14355,2026-08-03,10,50511,2026-07-31,64866,32433.0
