stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2892,第一金          ,2,79473,2025-12-22,2,63101,2025-12-19,142574,71287.0
6770,力積電          ,1,84439,2025-12-22,9,26353,2025-12-19,110792,55396.0
00919,群益台灣精選高息,8,28505,2025-12-22,3,52551,2025-12-19,81056,40528.0
2303,聯電            ,5,34325,2025-12-22,7,31771,2025-12-19,66096,33048.0
2891,中信金          ,3,37165,2025-12-22,8,28835,2025-12-19,66000,33000.0
2882,國泰金          ,7,28756,2025-12-22,10,24252,2025-12-19,53008,26504.0
