stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
3481,群創            ,3,78311,2026-05-06,1,116408,2026-05-05,194719,97359.5
2317,鴻海            ,2,100891,2026-05-06,2,82619,2026-05-05,183510,91755.0
00919,群益台灣精選高息,1,102090,2026-05-06,8,36936,2026-05-05,139026,69513.0
2887,台新新光金      ,4,54603,2026-05-06,4,52761,2026-05-05,107364,53682.0
0056,元大高股息      ,7,38938,2026-05-06,5,51958,2026-05-05,90896,45448.0
2883,凱基金          ,6,40520,2026-05-06,6,42748,2026-05-05,83268,41634.0
