stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2409,友達            ,1,55437,2026-09-03,10,10296,2026-09-02,65733,32866.5
5880,合庫金          ,7,17431,2026-09-03,2,27227,2026-09-02,44658,22329.0
2845,遠東銀          ,2,29743,2026-09-03,5,13895,2026-09-02,43638,21819.0
2886,兆豐金          ,3,23261,2026-09-03,3,17737,2026-09-02,40998,20499.0
2889,國票金          ,5,20412,2026-09-03,9,11092,2026-09-02,31504,15752.0
2892,第一金          ,10,12524,2026-09-03,6,13317,2026-09-02,25841,12920.5
