stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
6770,力積電          ,1,120689,2026-05-28,2,74224,2026-05-27,194913,97456.5
2881,富邦金          ,4,33906,2026-05-28,5,45956,2026-05-27,79862,39931.0
2882,國泰金          ,9,17727,2026-05-28,10,23092,2026-05-27,40819,20409.5
