stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2883,凱基金          ,5,23023,2026-02-04,1,33394,2026-02-03,56417,28208.5
2367,燿華            ,9,18213,2026-02-04,2,27398,2026-02-03,45611,22805.5
