stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00403A,主動統一升級50  ,1,121005,2026-07-22,2,43716,2026-07-21,164721,82360.5
00981A,主動統一台股增長,2,52627,2026-07-22,1,56033,2026-07-21,108660,54330.0
009816,凱基台灣TOP50   ,4,44112,2026-07-22,3,33893,2026-07-21,78005,39002.5
2885,元大金          ,8,25001,2026-07-22,4,23763,2026-07-21,48764,24382.0
