stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00403A,主動統一升級50  ,1,292645,2026-06-15,1,140223,2026-06-12,432868,216434.0
00981A,主動統一台股增長,2,66384,2026-06-15,3,80638,2026-06-12,147022,73511.0
2618,長榮航          ,5,30475,2026-06-15,6,37749,2026-06-12,68224,34112.0
2891,中信金          ,7,26698,2026-06-15,5,40901,2026-06-12,67599,33799.5
2610,華航            ,9,21686,2026-06-15,4,41603,2026-06-12,63289,31644.5
2890,永豐金          ,8,24604,2026-06-15,9,30858,2026-06-12,55462,27731.0
