stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2892,第一金          ,1,50982,2025-12-26,2,61697,2025-12-24,112679,56339.5
1605,華新            ,2,50121,2025-12-26,8,16075,2025-12-24,66196,33098.0
2891,中信金          ,4,26347,2025-12-26,4,30693,2025-12-24,57040,28520.0
2882,國泰金          ,7,17777,2025-12-26,6,23877,2025-12-24,41654,20827.0
2303,聯電            ,6,21778,2025-12-26,7,18663,2025-12-24,40441,20220.5
1504,東元            ,10,14453,2025-12-26,9,14529,2025-12-24,28982,14491.0
