stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2883,凱基金          ,3,25977,2026-07-07,7,20336,2026-07-06,46313,23156.5
2882,國泰金          ,5,17042,2026-07-07,6,20451,2026-07-06,37493,18746.5
2884,玉山金          ,8,14524,2026-07-07,9,16288,2026-07-06,30812,15406.0
