stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2887,台新新光金      ,7,14784,2026-04-27,2,37141,2026-04-24,51925,25962.5
2884,玉山金          ,9,11867,2026-04-27,10,11577,2026-04-24,23444,11722.0
