stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00981A,主動統一台股增長,1,35620,2026-08-18,2,51318,2026-08-17,86938,43469.0
00403A,主動統一升級50  ,2,23751,2026-08-18,1,54820,2026-08-17,78571,39285.5
00991A,主動復華未來50  ,3,21879,2026-08-18,4,36602,2026-08-17,58481,29240.5
2603,長榮            ,4,15067,2026-08-18,5,24586,2026-08-17,39653,19826.5
2609,陽明            ,6,14345,2026-08-18,6,23735,2026-08-17,38080,19040.0
3037,欣興            ,10,10677,2026-08-18,10,20705,2026-08-17,31382,15691.0
