stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
2892,第一金          ,2,63101,2025-12-19,1,81601,2025-12-18,144702,72351.0
6770,力積電          ,9,26353,2025-12-19,2,51490,2025-12-18,77843,38921.5
00919,群益台灣精選高息,3,52551,2025-12-19,6,15387,2025-12-18,67938,33969.0
2303,聯電            ,7,31771,2025-12-19,3,22857,2025-12-18,54628,27314.0
2891,中信金          ,8,28835,2025-12-19,4,20270,2025-12-18,49105,24552.5
2882,國泰金          ,10,24252,2025-12-19,5,19214,2025-12-18,43466,21733.0
