stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00919,群益台灣精選高息,6,15387,2025-12-18,1,106658,2025-12-17,122045,61022.5
2892,第一金          ,1,81601,2025-12-18,3,38810,2025-12-17,120411,60205.5
2303,聯電            ,3,22857,2025-12-18,2,72999,2025-12-17,95856,47928.0
6770,力積電          ,2,51490,2025-12-18,9,17392,2025-12-17,68882,34441.0
2882,國泰金          ,5,19214,2025-12-18,4,36555,2025-12-17,55769,27884.5
2891,中信金          ,4,20270,2025-12-18,5,35130,2025-12-17,55400,27700.0
