stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
3481,群創            ,1,128045,2026-03-02,1,122212,2026-02-26,250257,125128.5
2409,友達            ,2,89579,2026-03-02,2,67940,2026-02-26,157519,78759.5
2344,華邦電          ,5,22448,2026-03-02,7,27413,2026-02-26,49861,24930.5
2303,聯電            ,6,21775,2026-03-02,8,22588,2026-02-26,44363,22181.5
