stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
3481,群創            ,1,70221,2026-02-25,2,58880,2026-02-24,129101,64550.5
2317,鴻海            ,2,68721,2026-02-25,6,37264,2026-02-24,105985,52992.5
2883,凱基金          ,7,31937,2026-02-25,4,43674,2026-02-24,75611,37805.5
1303,南亞            ,5,34962,2026-02-25,9,30292,2026-02-24,65254,32627.0
6770,力積電          ,8,26222,2026-02-25,5,38044,2026-02-24,64266,32133.0
00940,元大台灣價值高息,10,25424,2026-02-25,10,25091,2026-02-24,50515,25257.5
