stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
6770,力積電          ,1,144966,2026-08-14,2,57184,2026-08-13,202150,101075.0
00403A,主動統一升級50  ,3,58655,2026-08-14,1,88137,2026-08-13,146792,73396.0
00981A,主動統一台股增長,2,95203,2026-08-14,6,34428,2026-08-13,129631,64815.5
00407A,主動凱基台灣    ,9,27010,2026-08-14,3,43830,2026-08-13,70840,35420.0
0050,元大台灣50      ,7,35877,2026-08-14,7,31063,2026-08-13,66940,33470.0
00991A,主動復華未來50  ,8,27739,2026-08-14,9,26466,2026-08-13,54205,27102.5
