stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
3481,群創            ,1,116408,2026-05-05,2,40503,2026-05-04,156911,78455.5
0056,元大高股息      ,5,51958,2026-05-05,1,58594,2026-05-04,110552,55276.0
2317,鴻海            ,2,82619,2026-05-05,10,27360,2026-05-04,109979,54989.5
2883,凱基金          ,6,42748,2026-05-05,6,36943,2026-05-04,79691,39845.5
00919,群益台灣精選高息,8,36936,2026-05-05,7,34059,2026-05-04,70995,35497.5
2408,南亞科          ,10,24934,2026-05-05,9,28324,2026-05-04,53258,26629.0
