stock_id,stock_name,day1_rank,day1_net_buy,day1_date,day2_rank,day2_net_buy,day2_date,total_net_buy,avg_net_buy
00981A,主動統一台股增長,2,51318,2026-08-17,2,95203,2026-08-14,146521,73260.5
00403A,主動統一升級50  ,1,54820,2026-08-17,3,58655,2026-08-14,113475,56737.5
00991A,主動復華未來50  ,4,36602,2026-08-17,8,27739,2026-08-14,64341,32170.5
